Power [dB],Frequency,Type
-0.59197,Gamma,Binaural
0.65537,Gamma,Binaural
-1.5838,Gamma,Binaural
-1.5664,Gamma,Binaural
3.577,Gamma,Binaural
1.1084,Gamma,Binaural
-4.3674,Gamma,Binaural
0.73474,Gamma,Binaural
0.79319,Gamma,Binaural
4.5656,Gamma,Binaural
-1.5938,Gamma,Binaural
11.709,Gamma,Binaural
-3.6572,Gamma,Binaural
0.66617,Gamma,Binaural
0.032768,Gamma,Binaural
0.61365,Gamma,Binaural
-0.84647,Theta,Binaural
7.1305,Theta,Binaural
-0.97894,Theta,Binaural
-0.34919,Theta,Binaural
9.4454,Theta,Binaural
12.627,Theta,Binaural
-0.53261,Theta,Binaural
8.2464,Theta,Binaural
2.1231,Theta,Binaural
7.1805,Theta,Binaural
-1.9185,Theta,Binaural
7.6132,Theta,Binaural
2.4455,Theta,Binaural
5.6721,Theta,Binaural
6.1562,Theta,Binaural
9.215,Theta,Binaural
-2.5673,Gamma,Monaural
-1.0455,Gamma,Monaural
-1.8018,Gamma,Monaural
0.086612,Gamma,Monaural
0.35515,Gamma,Monaural
6.6747,Gamma,Monaural
-3.8804,Gamma,Monaural
-0.27392,Gamma,Monaural
1.218,Gamma,Monaural
0.50078,Gamma,Monaural
1.186,Gamma,Monaural
0.2686,Gamma,Monaural
-2.9901,Gamma,Monaural
1.8754,Gamma,Monaural
-1.229,Gamma,Monaural
3.5749,Gamma,Monaural
-0.14535,Theta,Monaural
7.0093,Theta,Monaural
0.76047,Theta,Monaural
2.2914,Theta,Monaural
10.862,Theta,Monaural
9.5966,Theta,Monaural
-3.0783,Theta,Monaural
11.915,Theta,Monaural
3.4062,Theta,Monaural
9.248,Theta,Monaural
1.85,Theta,Monaural
6.9145,Theta,Monaural
1.627,Theta,Monaural
6.3338,Theta,Monaural
7.1011,Theta,Monaural
7.7188,Theta,Monaural